center_x,center_y,label,orientation,avg_height,orig_index
345,380,unknown_elongated_building,90.0,145.09129333496094,0
306,378,unknown_elongated_building,90.0,145.37208557128906,2
402,374,palace,11.309932708740234,144.7666015625,3
312,365,palace,11.309932708740234,145.75631713867188,4
519,355,ruin_small,90.0,143.41529846191406,5
349,359,ruin_small,90.0,144.35598754882812,6
497,352,house,90.0,143.7089385986328,7
317,349,house,90.0,144.21372985839844,8
336,338,platform_large,90.0,144.70254516601562,9
366,318,palace,9.462322235107422,145.90625,10
197,303,house,90.0,147.68667602539062,13
177,306,cluster_houses,42.51044845581055,148.68345642089844,14
229,299,platform_large,90.0,147.36614990234375,15
553,293,palace,90.0,146.48529052734375,16
207,281,house,9.462321281433105,149.48110961914062,18
319,277,platform_small,90.0,146.2229766845703,19
403,280,cluster_houses,61.927513122558594,145.93341064453125,20
585,283,temple_pyramida,71.56504821777344,150.2894287109375,21
557,267,palace,90.0,146.75856018066406,22
179,272,double_house,90.0,151.6103515625,24
377,272,cluster_houses,47.121097564697266,146.07614135742188,25
314,259,double_house,4.763641834259033,145.85302734375,26
284,252,house,90.0,145.917236328125,27
544,252,palace,90.0,145.63327026367188,28
256,263,juego,9.162346839904785,149.92062377929688,29
228,259,juego,9.462322235107422,150.53826904296875,30
392,245,double_house,90.0,146.4399871826172,31
192,246,double_house,90.0,152.06626892089844,32
353,232,palace,90.0,148.47052001953125,34
292,224,house,90.0,146.8094482421875,35
252,212,ruin_small,90.0,149.194091796875,37
326,203,house,90.0,147.13389587402344,39
309,220,cluster_houses,90.0,146.7325439453125,40
338,205,platform_large,8.530765533447266,146.91836547851562,41
251,193,platform_large,90.0,150.57794189453125,42
285,170,house,33.6900634765625,148.01951599121094,45
52,170,house,14.03624439239502,168.4391632080078,47
405,159,platform_large,90.0,145.7832489013672,48
368,158,palace,90.0,148.59103393554688,49
142,180,palace_large,11.309932708740234,158.97576904296875,50
342,165,cluster_houses,90.0,148.077880859375,52
269,159,double_house,9.727579116821289,149.06658935546875,53
410,141,house,90.0,145.60987854003906,54
383,144,double_house,57.52880859375,147.3543701171875,55
362,132,palace,90.0,147.98533630371094,58
310,141,cluster_houses,11.309932708740234,148.28561401367188,59
346,131,double_house,90.0,148.4840850830078,60
230,127,platform_large,90.0,150.57484436035156,61
287,119,house,90.0,148.00897216796875,62
386,114,palace,14.03624439239502,146.69517517089844,63
50,100,platform_large,90.0,162.32875061035156,64
348,84,platform_large,90.0,146.62461853027344,66
39,80,ruin_small,90.0,162.34483337402344,67
323,81,house,90.0,147.05677795410156,68
167,72,double_house,90.0,154.1141357421875,70
79,70,house,18.43494987487793,160.23306274414062,71
19,54,palace,90.0,163.51254272460938,72
299,50,double_house,90.0,147.72666931152344,73
317,43,unknown_small_building,90.0,147.46107482910156,74
267,32,ruin_small,90.0,149.45645141601562,76
280,43,double_house,16.50436019897461,149.028076171875,78
51,22,ruin_small,90.0,162.17449951171875,79
15,24,house,9.462322235107422,164.18536376953125,80
37,15,unknown_large_building,46.54815673828125,163.56338500976562,83
357,12,palace,90.0,146.33370971679688,84
269,10,house,90.0,151.79884338378906,85
5,4,palace,90.0,167.14927673339844,86
