wkt,label,orientation,avg_height,orig_index
"POLYGON((354.5 378.0, 354.5 382.0, 335.5 382.0, 335.5 378.0, 354.5 378.0))",unknown_elongated_building,90.0,145.09129333496094,0
"POLYGON((316.0 373.5, 316.0 382.5, 296.0 382.5, 296.0 373.5, 316.0 373.5))",unknown_elongated_building,90.0,145.37208557128906,2
"POLYGON((399.961538620021 364.6923076371084, 407.461538400448 366.1923076251476, 404.038461379979 383.3076923628916, 396.538461599552 381.8076923748524, 399.961538620021 364.6923076371084))",03_palace,11.309932708740234,144.7666015625,3
"POLYGON((303.73076984442906 356.3461539650255, 322.9615378887541 360.1923076558233, 320.26923015557094 373.6538460349745, 301.0384621112459 369.8076923441767, 303.73076984442906 356.3461539650255))",04_palace,11.309932708740234,145.75631713867188,4
"POLYGON((525.0 352.5, 525.0 357.5, 513.0 357.5, 513.0 352.5, 525.0 352.5))",ruin_small,90.0,143.41529846191406,5
"POLYGON((351.5 353.5, 351.5 364.5, 346.5 364.5, 346.5 353.5, 351.5 353.5))",ruin_small,90.0,144.35598754882812,6
"POLYGON((505.5 348.0, 505.5 356.0, 488.5 356.0, 488.5 348.0, 505.5 348.0))",01_house,90.0,143.7089385986328,7
"POLYGON((321.5 345.0, 321.5 353.0, 312.5 353.0, 312.5 345.0, 321.5 345.0))",01_house,90.0,144.21372985839844,8
"POLYGON((348.5 334.0, 348.5 342.0, 323.5 342.0, 323.5 334.0, 348.5 334.0))",16_platform_large,90.0,144.70254516601562,9
"POLYGON((360.7027028920671 306.2837839214842, 374.81081059587564 308.63513521230595, 371.2972971079329 329.7162160785158, 357.18918940412436 327.36486478769405, 360.7027028920671 306.2837839214842))",04_palace,9.462322235107422,145.90625,10
"POLYGON((200.5 295.5, 200.5 310.5, 193.5 310.5, 193.5 295.5, 200.5 295.5))",01_house,90.0,147.68667602539062,13
"POLYGON((171.03962328142507 291.9113208292513, 191.55282983211563 310.7150944085038, 182.96037671857493 320.0886791707487, 162.44717016788437 301.2849055914962, 171.03962328142507 291.9113208292513))",cluster_houses,42.51044845581055,148.68345642089844,14
"POLYGON((239.0 293.5, 239.0 304.5, 219.0 304.5, 219.0 293.5, 239.0 293.5))",16_platform_large,90.0,147.36614990234375,15
"POLYGON((564.0 289.0, 564.0 297.0, 542.0 297.0, 542.0 289.0, 564.0 289.0))",04_palace,90.0,146.48529052734375,16
"POLYGON((199.70270259977917 276.7837838817252, 215.27027028341556 279.37837823691115, 214.29729740022083 285.2162161182748, 198.72972971658444 282.62162176308885, 199.70270259977917 276.7837838817252))",01_house,9.462321281433105,149.48110961914062,18
"POLYGON((327.5 273.0, 327.5 281.0, 310.5 281.0, 310.5 273.0, 327.5 273.0))",15_platform_small,90.0,146.2229766845703,19
"POLYGON((413.05709374557756 267.1695499242203, 419.2577858544452 278.7958476568924, 392.94290625442244 292.8304500757797, 386.7422141455548 281.2041523431076, 413.05709374557756 267.1695499242203))",cluster_houses,61.927513122558594,145.93341064453125,20
"POLYGON((597.6499963744208 265.4500000913175, 605.6499977110261 289.449999969165, 572.3500036255792 300.5499999086825, 564.3500022889739 276.550000030835, 597.6499963744208 265.4500000913175))",11_temple_pyramida,71.56504821777344,150.2894287109375,21
"POLYGON((567.5 263.0, 567.5 271.0, 546.5 271.0, 546.5 263.0, 567.5 263.0))",04_palace,90.0,146.75856018066406,22
"POLYGON((184.5 261.5, 184.5 282.5, 173.5 282.5, 173.5 261.5, 184.5 261.5))",02_double_house,90.0,151.6103515625,24
"POLYGON((376.7753421455564 253.5657525250978, 395.3671240963478 273.5876723676063, 377.2246578544436 290.4342474749022, 358.6328759036522 270.4123276323937, 376.7753421455564 253.5657525250978))",cluster_houses,47.121097564697266,146.07614135742188,25
"POLYGON((298.70689512511365 252.5172408070542, 330.15517393479433 255.1379307871898, 329.29310487488635 265.48275919294576, 297.84482606520567 262.86206921281024, 298.70689512511365 252.5172408070542))",02_double_house,4.763641834259033,145.85302734375,26
"POLYGON((289.5 250.0, 289.5 254.0, 278.5 254.0, 278.5 250.0, 289.5 250.0))",01_house,90.0,145.917236328125,27
"POLYGON((551.5 245.5, 551.5 258.5, 536.5 258.5, 536.5 245.5, 551.5 245.5))",04_palace,90.0,145.63327026367188,28
"POLYGON((250.84786958432917 241.9432059105001, 267.51115629481706 244.63083273787373, 261.1521304156708 284.05679408949993, 244.48884370518294 281.36916726212627, 250.84786958432917 241.9432059105001))",12_juego,9.162346839904785,149.92062377929688,29
"POLYGON((224.58108114005137 238.013513503449, 238.04054050574064 240.25675673760242, 231.41891885994863 279.98648649655104, 217.95945949425936 277.7432432623976, 224.58108114005137 238.013513503449))",12_juego,9.462322235107422,150.53826904296875,30
"POLYGON((407.5 238.5, 407.5 251.5, 376.5 251.5, 376.5 238.5, 407.5 238.5))",02_double_house,90.0,146.4399871826172,31
"POLYGON((210.5 237.5, 210.5 254.5, 173.5 254.5, 173.5 237.5, 210.5 237.5))",02_double_house,90.0,152.06626892089844,32
"POLYGON((363.5 224.0, 363.5 240.0, 342.5 240.0, 342.5 224.0, 363.5 224.0))",04_palace,90.0,148.47052001953125,34
"POLYGON((295.0 218.5, 295.0 229.5, 289.0 229.5, 289.0 218.5, 295.0 218.5))",01_house,90.0,146.8094482421875,35
"POLYGON((255.0 206.0, 255.0 218.0, 249.0 218.0, 249.0 206.0, 255.0 206.0))",ruin_small,90.0,149.194091796875,37
"POLYGON((329.0 197.0, 329.0 209.0, 323.0 209.0, 323.0 197.0, 329.0 197.0))",01_house,90.0,147.13389587402344,39
"POLYGON((319.0 199.0, 319.0 241.0, 299.0 241.0, 299.0 199.0, 319.0 199.0))",cluster_houses,90.0,146.7325439453125,40
"POLYGON((336.5770167819496 191.48655300834412, 343.325183529591 192.4987780112775, 339.4229832180504 218.51344699165588, 332.674816470409 217.5012219887225, 336.5770167819496 191.48655300834412))",16_platform_large,8.530765533447266,146.91836547851562,41
"POLYGON((261.0 184.5, 261.0 201.5, 241.0 201.5, 241.0 184.5, 261.0 184.5))",16_platform_large,90.0,150.57794189453125,42
"POLYGON((282.499999700038 164.5000002925978, 291.0384614109242 170.19230722818875, 287.500000299962 175.4999997074022, 278.9615385890758 169.80769277181125, 282.499999700038 164.5000002925978))",01_house,33.6900634765625,148.01951599121094,45
"POLYGON((50.794117848075416 160.8235291718935, 57.382353119663875 162.47058810273577, 53.205882151924584 179.1764708281065, 46.617646880336125 177.52941189726423, 50.794117848075416 160.8235291718935))",01_house,14.03624439239502,168.4391632080078,47
"POLYGON((412.0 153.5, 412.0 164.5, 398.0 164.5, 398.0 153.5, 412.0 153.5))",16_platform_large,90.0,145.7832489013672,48
"POLYGON((373.0 152.0, 373.0 164.0, 363.0 164.0, 363.0 152.0, 373.0 152.0))",03_palace,90.0,148.59103393554688,49
"POLYGON((137.9423087399625 150.28845993594027, 157.1730767842875 154.13461362673803, 146.0576912600375 209.71154006405973, 126.8269232157125 205.86538637326197, 137.9423087399625 150.28845993594027))",04_palace_large,11.309932708740234,158.97576904296875,50
"POLYGON((366.5 150.0, 366.5 180.0, 317.5 180.0, 317.5 150.0, 366.5 150.0))",cluster_houses,90.0,148.077880859375,52
"POLYGON((268.36558263146776 137.0341014595713, 276.91435380522023 138.49960517619968, 269.63441736853224 180.9658985404287, 261.08564619477977 179.50039482380032, 268.36558263146776 137.0341014595713))",02_double_house,9.727579116821289,149.06658935546875,53
"POLYGON((414.5 138.0, 414.5 144.0, 405.5 144.0, 405.5 138.0, 414.5 138.0))",01_house,90.0,145.60987854003906,54
"POLYGON((389.0852943874165 132.49117658871327, 396.00294120342613 143.36176481298241, 376.9147056125835 155.50882341128673, 369.99705879657387 144.63823518701759, 389.0852943874165 132.49117658871327))",02_double_house,57.52880859375,147.3543701171875,55
"POLYGON((368.5 127.5, 368.5 136.5, 355.5 136.5, 355.5 127.5, 368.5 127.5))",04_palace,90.0,147.98533630371094,58
"POLYGON((290.53846167625153 120.80769205445586, 335.7307692923636 129.84615377022024, 329.46153832374847 161.19230794554414, 284.2692307076364 152.15384622977976, 290.53846167625153 120.80769205445586))",cluster_houses,11.309932708740234,148.28561401367188,59
"POLYGON((351.0 122.0, 351.0 140.0, 341.0 140.0, 341.0 122.0, 351.0 122.0))",02_double_house,90.0,148.4840850830078,60
"POLYGON((238.0 121.0, 238.0 133.0, 222.0 133.0, 222.0 121.0, 238.0 121.0))",16_platform_large,90.0,150.57484436035156,61
"POLYGON((290.5 111.0, 290.5 127.0, 283.5 127.0, 283.5 111.0, 290.5 111.0))",01_house,90.0,148.00897216796875,62
"POLYGON((373.8529408212895 105.08823530329968, 400.9117650842421 111.85294183291967, 398.1470591787105 122.91176469670032, 371.0882349157579 116.14705816708033, 373.8529408212895 105.08823530329968))",04_palace,14.03624439239502,146.69517517089844,63
"POLYGON((59.0 97.0, 59.0 103.0, 41.0 103.0, 41.0 97.0, 59.0 97.0))",16_platform_large,90.0,162.32875061035156,64
"POLYGON((357.0 76.5, 357.0 91.5, 339.0 91.5, 339.0 76.5, 357.0 76.5))",16_platform_large,90.0,146.62461853027344,66
"POLYGON((41.0 73.5, 41.0 86.5, 37.0 86.5, 37.0 73.5, 41.0 73.5))",ruin_small,90.0,162.34483337402344,67
"POLYGON((326.0 74.0, 326.0 88.0, 320.0 88.0, 320.0 74.0, 326.0 74.0))",01_house,90.0,147.05677795410156,68
"POLYGON((175.0 66.5, 175.0 77.5, 159.0 77.5, 159.0 66.5, 175.0 66.5))",02_double_house,90.0,154.1141357421875,70
"POLYGON((78.05000016073262 61.850000871393014, 84.64999956706319 64.05000080814389, 79.94999983926738 78.14999912860699, 73.35000043293681 75.94999919185611, 78.05000016073262 61.850000871393014))",01_house,18.43494987487793,160.23306274414062,71
"POLYGON((26.0 48.0, 26.0 60.0, 12.0 60.0, 12.0 48.0, 26.0 48.0))",04_palace,90.0,163.51254272460938,72
"POLYGON((310.5 45.5, 310.5 54.5, 287.5 54.5, 287.5 45.5, 310.5 45.5))",02_double_house,90.0,147.72666931152344,73
"POLYGON((322.0 38.0, 322.0 48.0, 312.0 48.0, 312.0 38.0, 322.0 38.0))",unknown_small_building,90.0,147.46107482910156,74
"POLYGON((270.0 25.5, 270.0 38.5, 264.0 38.5, 264.0 25.5, 270.0 25.5))",ruin_small,90.0,149.45645141601562,76
"POLYGON((280.71185310055046 17.784991203556523, 293.1393452499423 21.467210820604244, 279.28814689944954 68.21500879644347, 266.8606547500577 64.53278917939576, 280.71185310055046 17.784991203556523))",02_double_house,16.50436019897461,149.028076171875,78
"POLYGON((53.5 17.0, 53.5 27.0, 48.5 27.0, 48.5 17.0, 53.5 17.0))",ruin_small,90.0,162.17449951171875,79
"POLYGON((12.824324409652363 15.054053945112583, 19.959459421408837 16.243243117204884, 17.175675590347637 32.945946054887415, 10.040540578591163 31.756756882795116, 12.824324409652363 15.054053945112583))",01_house,9.462322235107422,164.18536376953125,80
