wkt,label,orientation,avg_height,orig_index
"POLYGON((335.5 382.0, 335.5 378.0, 354.5 378.0, 354.5 382.0, 335.5 382.0))",unknown_elongated_building,-90.0,145.09129333496094,0
"POLYGON((296.0 382.5, 296.0 373.5, 316.0 373.5, 316.0 382.5, 296.0 382.5))",unknown_elongated_building,-90.0,145.37208557128906,2
"POLYGON((396.5384621193806 381.80769273847636, 399.9615380003239 364.6923077728272, 407.4615378806194 366.19230726152364, 404.0384619996761 383.3076922271728, 396.5384621193806 381.80769273847636))",03_palace,-78.69007110595703,144.7666015625,3
"POLYGON((301.0384624313374 369.80769307398526, 303.73076926826445 356.34615451558284, 322.9615375686626 360.19230692601474, 320.26923073173555 373.65384548441716, 301.0384624313374 369.80769307398526))",04_palace,-78.69007110595703,145.75631713867188,4
"POLYGON((513.0 357.5, 513.0 352.5, 525.0 352.5, 525.0 357.5, 513.0 357.5))",ruin_small,-90.0,143.41529846191406,5
"POLYGON((346.5 364.5, 346.5 353.5, 351.5 353.5, 351.5 364.5, 346.5 364.5))",ruin_small,-90.0,144.35598754882812,6
"POLYGON((488.5 356.0, 488.5 348.0, 505.5 348.0, 505.5 356.0, 488.5 356.0))",01_house,-90.0,143.7089385986328,7
"POLYGON((312.5 353.0, 312.5 345.0, 321.5 345.0, 321.5 353.0, 312.5 353.0))",01_house,-90.0,144.21372985839844,8
"POLYGON((323.5 342.0, 323.5 334.0, 348.5 334.0, 348.5 342.0, 323.5 342.0))",16_platform_large,-90.0,144.70254516601562,9
"POLYGON((357.189190027628 327.3648653743092, 360.70270211201284 306.2837842741731, 374.810809972372 308.6351346256908, 371.29729788798716 329.7162157258269, 357.189190027628 327.3648653743092))",04_palace,-80.53768157958984,145.90625,10
"POLYGON((193.5 310.5, 193.5 295.5, 200.5 295.5, 200.5 310.5, 193.5 310.5))",01_house,-90.0,147.68667602539062,13
"POLYGON((162.44717016788437 301.2849055914962, 171.03962328142507 291.9113208292513, 191.55282983211563 310.7150944085038, 182.96037671857493 320.0886791707487, 162.44717016788437 301.2849055914962))",cluster_houses,-47.48955154418945,148.68345642089844,14
"POLYGON((219.0 304.5, 219.0 293.5, 239.0 293.5, 239.0 304.5, 219.0 304.5))",16_platform_large,-90.0,147.36614990234375,15
"POLYGON((542.0 297.0, 542.0 289.0, 564.0 289.0, 564.0 297.0, 542.0 297.0))",04_palace,-90.0,146.48529052734375,16
"POLYGON((198.72972979755897 282.62162217605874, 199.70270238924553 276.78378424611043, 215.27027020244103 279.37837782394126, 214.29729761075447 285.21621575388957, 198.72972979755897 282.62162217605874))",01_house,-80.53768157958984,149.48110961914062,18
"POLYGON((310.5 281.0, 310.5 273.0, 327.5 273.0, 327.5 281.0, 310.5 281.0))",15_platform_small,-90.0,146.2229766845703,19
"POLYGON((386.7422141455548 281.2041523431076, 413.05709374557756 267.1695499242203, 419.2577858544452 278.7958476568924, 392.94290625442244 292.8304500757797, 386.7422141455548 281.2041523431076))",cluster_houses,-28.072486877441406,145.93341064453125,20
"POLYGON((564.3500027184086 276.54999865597824, 597.6499975428826 265.450000933542, 605.6499972815914 289.45000134402176, 572.3500024571174 300.549999066458, 564.3500027184086 276.54999865597824))",11_temple_pyramida,-18.434947967529297,150.2894287109375,21
"POLYGON((546.5 271.0, 546.5 263.0, 567.5 263.0, 567.5 271.0, 546.5 271.0))",04_palace,-90.0,146.75856018066406,22
"POLYGON((173.5 282.5, 173.5 261.5, 184.5 261.5, 184.5 282.5, 173.5 282.5))",02_double_house,-90.0,151.6103515625,24
"POLYGON((358.6328759036522 270.4123276323937, 376.7753421455564 253.5657525250978, 395.3671240963478 273.5876723676063, 377.2246578544436 290.4342474749022, 358.6328759036522 270.4123276323937))",cluster_houses,-42.878902435302734,146.07614135742188,25
"POLYGON((297.84482609734727 262.8620693472597, 298.7068950711617 252.5172409343292, 330.15517390265273 255.1379306527403, 329.2931049288383 265.4827590656708, 297.84482609734727 262.8620693472597))",02_double_house,-85.23635864257812,145.85302734375,26
"POLYGON((278.5 254.0, 278.5 250.0, 289.5 250.0, 289.5 254.0, 278.5 254.0))",01_house,-90.0,145.917236328125,27
"POLYGON((536.5 258.5, 536.5 245.5, 551.5 245.5, 551.5 258.5, 536.5 258.5))",04_palace,-90.0,145.63327026367188,28
